O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
570,35-9021.00,Dishwashers,0.998,0.002,0.0,0.0,0.239,0.286,0.239,0.571,0.381,0.214,0.143,0.636,0.203,0.143,0.997,0.263
571,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.9390000000000001,0.004,0.057,0.0,0.381,0.333,0.333,0.714,0.429,0.357,0.254,0.549,0.599,0.143,0.479,0.743
573,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.46399999999999997,0.41400000000000003,0.122,0.0,0.524,0.81,0.476,0.524,0.714,0.547,0.143,0.734,0.817,0.169,0.607,0.507
574,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.24100000000000002,0.372,0.323,0.063,0.571,0.761,0.429,0.714,0.571,0.596,0.147,0.744,0.873,0.254,0.643,0.427
575,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.759,0.0,0.235,0.006,0.239,0.286,0.19,0.619,0.429,0.286,0.143,0.646,0.229,0.156,0.966,0.297
576,37-2012.00,Maids and Housekeeping Cleaners,0.8009999999999999,0.091,0.059,0.05,0.239,0.286,0.143,0.761,0.381,0.239,0.201,0.651,0.224,0.143,0.864,0.354
578,37-2021.00,Pest Control Workers,0.902,0.098,0.0,0.0,0.476,0.761,0.333,0.667,0.714,0.429,0.143,0.597,0.333,0.443,0.934,0.257
579,37-3011.00,Landscaping and Groundskeeping Workers,0.47300000000000003,0.34299999999999997,0.183,0.0,0.381,0.381,0.286,0.476,0.429,0.429,0.271,0.477,0.257,0.231,1.0,0.207
580,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.7120000000000001,0.16,0.128,0.0,0.286,0.571,0.286,0.476,0.81,0.5,0.151,0.511,0.217,0.406,0.91,0.276
581,37-3013.00,Tree Trimmers and Pruners,0.939,0.06,0.0,0.0,0.381,0.476,0.381,0.619,0.619,0.404,0.143,0.441,0.18,0.307,1.0,0.254
583,39-1013.00,First-Line Supervisors of Gambling Services Workers,0.538,0.39699999999999996,0.064,0.0,0.596,0.739,0.596,0.857,0.714,0.56,0.143,0.786,0.847,0.143,0.529,0.431
585,39-1022.00,First-Line Supervisors of Personal Service Workers,0.179,0.717,0.075,0.028,0.619,0.761,0.524,0.81,0.761,0.596,0.184,0.711,0.964,0.154,0.481,0.574
586,39-2011.00,Animal Trainers,0.67,0.312,0.018,0.0,0.571,0.761,0.429,0.619,0.429,0.5,0.253,0.43,0.307,0.321,0.921,0.514
587,39-2021.00,Animal Caretakers,0.731,0.136,0.134,0.0,0.381,0.476,0.333,0.667,0.476,0.357,0.233,0.463,0.217,0.394,0.881,0.536
588,39-3011.00,Gambling Dealers,0.843,0.157,0.0,0.0,0.333,0.524,0.333,0.667,0.714,0.453,0.151,0.781,0.747,0.143,0.527,0.31
589,39-3012.00,Gambling and Sports Book Writers and Runners,0.887,0.114,0.0,0.0,0.286,0.333,0.286,0.761,0.761,0.286,0.146,0.853,0.713,0.143,0.397,0.417
591,39-3021.00,Motion Picture Projectionists,0.8089999999999999,0.089,0.101,0.0,0.381,0.381,0.286,0.333,0.571,0.286,0.426,0.654,0.297,0.279,0.774,0.289
592,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",0.944,0.039,0.016,0.0,0.19,0.286,0.239,0.619,0.476,0.261,0.199,0.659,0.597,0.143,0.477,0.679
593,39-3091.00,Amusement and Recreation Attendants,0.9610000000000001,0.025,0.014,0.0,0.286,0.619,0.286,0.571,0.619,0.31,0.249,0.657,0.564,0.143,0.594,0.626
594,39-3092.00,Costume Attendants,0.426,0.26199999999999996,0.296,0.015,0.286,0.333,0.286,0.953,0.429,0.404,0.841,0.55,0.439,0.143,0.51,0.493
595,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0.868,0.132,0.0,0.0,0.19,0.429,0.19,0.524,0.429,0.381,0.23,0.771,0.329,0.143,0.623,0.586
597,39-4011.00,Embalmers,0.0,0.864,0.136,0.0,0.524,0.761,0.381,0.714,0.761,0.619,0.241,0.534,0.379,0.357,0.834,0.49
599,39-4021.00,Funeral Attendants,0.538,0.351,0.093,0.017,0.286,0.429,0.333,0.714,0.476,0.357,0.289,0.593,0.474,0.144,0.664,0.596
600,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",0.153,0.734,0.112,0.0,0.667,0.761,0.571,0.904,0.571,0.619,0.226,0.701,0.656,0.199,0.534,0.614
601,39-5011.00,Barbers,0.45499999999999996,0.515,0.017,0.012,0.667,0.476,0.429,0.714,0.333,0.5,0.389,0.557,0.517,0.143,0.766,0.516
602,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0.209,0.791,0.0,0.0,0.571,0.714,0.381,0.904,0.286,0.453,0.461,0.563,0.464,0.219,0.773,0.53
603,39-5091.00,"Makeup Artists, Theatrical and Performance",0.261,0.609,0.13,0.0,0.571,0.524,0.524,0.667,0.286,0.596,0.977,0.384,0.423,0.213,0.627,0.434
604,39-5092.00,Manicurists and Pedicurists,0.85,0.151,0.0,0.0,0.286,0.381,0.333,0.857,0.429,0.286,0.329,0.526,0.327,0.189,0.817,0.423
605,39-5093.00,Shampooers,0.314,0.686,0.0,0.0,0.239,0.239,0.239,0.667,0.476,0.239,0.223,0.481,0.353,0.193,0.79,0.536
606,39-5094.00,Skincare Specialists,0.007,0.993,0.0,0.0,0.667,0.714,0.476,0.714,0.476,0.5,0.417,0.45,0.43,0.294,0.829,0.58
607,39-6011.00,Baggage Porters and Bellhops,0.831,0.16999999999999998,0.0,0.0,0.239,0.476,0.239,0.857,0.619,0.429,0.143,0.681,0.381,0.143,0.696,0.509
608,39-6012.00,Concierges,0.318,0.591,0.091,0.0,0.524,0.619,0.381,0.857,0.524,0.476,0.311,0.636,0.663,0.143,0.379,0.763
609,39-7011.00,Tour Guides and Escorts,0.259,0.402,0.3,0.038000000000000006,0.286,0.381,0.333,0.81,0.429,0.357,0.471,0.427,0.526,0.34,0.479,0.734
610,39-7012.00,Travel Guides,0.634,0.308,0.057,0.0,0.619,0.714,0.381,0.714,0.429,0.453,0.344,0.589,0.636,0.356,0.386,0.701
611,39-9011.00,Childcare Workers,0.528,0.385,0.087,0.0,0.476,0.571,0.381,0.857,0.571,0.404,0.503,0.516,0.417,0.186,0.479,0.849
612,39-9011.01,Nannies,0.64,0.32,0.04,0.0,0.667,0.714,0.333,0.857,0.286,0.547,0.543,0.47,0.4,0.293,0.424,0.871
613,39-9031.00,Exercise Trainers and Group Fitness Instructors,0.143,0.714,0.095,0.048,0.619,0.619,0.476,0.857,0.476,0.524,0.371,0.393,0.486,0.409,0.711,0.807
614,39-9032.00,Recreation Workers,0.262,0.118,0.62,0.001,0.667,0.81,0.429,0.857,0.667,0.524,0.436,0.493,0.644,0.283,0.536,0.7
615,39-9041.00,Residential Advisors,0.087,0.502,0.313,0.097,0.571,0.667,0.429,0.904,0.667,0.547,0.327,0.647,0.539,0.351,0.376,0.779
617,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.658,0.33799999999999997,0.004,0.0,0.524,0.667,0.524,0.619,0.571,0.571,0.143,0.791,1.0,0.16,0.393,0.534
618,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,0.16,0.261,0.45,0.13,0.619,0.761,0.571,0.714,0.714,0.739,0.143,0.761,1.0,0.147,0.271,0.579
619,41-2011.00,Cashiers,0.8160000000000001,0.184,0.0,0.0,0.381,0.381,0.286,0.667,0.524,0.31,0.143,0.866,0.523,0.146,0.4,0.39
620,41-2012.00,Gambling Change Persons and Booth Cashiers,0.964,0.036000000000000004,0.0,0.0,0.333,0.429,0.286,0.619,0.619,0.357,0.153,0.926,0.603,0.143,0.423,0.353
621,41-2021.00,Counter and Rental Clerks,0.5670000000000001,0.231,0.202,0.0,0.333,0.381,0.286,0.619,0.571,0.31,0.173,0.869,0.527,0.143,0.446,0.467
622,41-2022.00,Parts Salespersons,0.468,0.395,0.136,0.0,0.381,0.524,0.381,0.667,0.476,0.429,0.143,0.78,0.571,0.193,0.759,0.301
623,41-2031.00,Retail Salespersons,0.8280000000000001,0.132,0.04,0.0,0.429,0.429,0.381,0.714,0.571,0.333,0.299,0.72,0.869,0.143,0.471,0.426
624,41-3011.00,Advertising Sales Agents,0.298,0.18300000000000002,0.518,0.0,0.714,0.761,0.667,0.904,0.667,0.761,0.506,0.676,0.959,0.21,0.151,0.413
625,41-3021.00,Insurance Sales Agents,0.148,0.383,0.395,0.074,0.714,0.761,0.524,0.761,0.667,0.547,0.169,0.757,0.834,0.327,0.157,0.527
626,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.268,0.08,0.553,0.098,0.739,0.726,0.631,0.679,0.631,0.739,0.184,0.753,0.869,0.361,0.179,0.44
627,41-3041.00,Travel Agents,0.308,0.548,0.144,0.0,0.476,0.476,0.476,0.667,0.429,0.453,0.276,0.817,0.824,0.211,0.176,0.617
629,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.144,0.443,0.395,0.019,0.667,0.714,0.571,0.619,0.524,0.667,0.216,0.719,0.77,0.45,0.406,0.426
630,41-4011.07,Solar Sales Representatives and Assessors,0.094,0.575,0.216,0.114,0.761,0.714,0.524,0.619,0.571,0.643,0.199,0.633,0.794,0.39,0.503,0.393
631,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.48,0.182,0.339,0.0,0.667,0.667,0.524,0.714,0.524,0.667,0.241,0.699,0.87,0.329,0.377,0.376
632,41-9011.00,Demonstrators and Product Promoters,0.994,0.0,0.0,0.007,0.381,0.476,0.429,0.81,0.381,0.404,0.461,0.521,0.76,0.257,0.49,0.451
633,41-9012.00,Models,0.937,0.024,0.039,0.0,0.239,0.239,0.571,0.714,0.239,0.381,1.0,0.291,0.52,0.143,0.686,0.387
634,41-9021.00,Real Estate Brokers,0.157,0.303,0.367,0.172,0.667,0.714,0.619,0.667,0.476,0.619,0.143,0.801,0.919,0.22,0.374,0.423
635,41-9022.00,Real Estate Sales Agents,0.524,0.38099999999999995,0.048,0.048,0.761,0.761,0.619,0.761,0.524,0.667,0.276,0.73,0.919,0.209,0.289,0.5
636,41-9031.00,Sales Engineers,0.0,0.175,0.573,0.252,0.81,0.667,0.667,0.761,0.619,0.761,0.256,0.641,0.83,0.523,0.451,0.41
637,41-9041.00,Telemarketers,0.593,0.40800000000000003,0.0,0.0,0.476,0.381,0.333,0.524,0.524,0.261,0.199,0.727,0.741,0.17,0.266,0.517
638,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.0,0.0,0.0,0.0,0.524,0.524,0.286,0.714,0.286,0.357,0.289,0.674,0.786,0.143,0.51,0.394
640,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,0.232,0.30200000000000005,0.452,0.013,0.619,0.761,0.619,0.761,0.81,0.69,0.143,0.811,0.994,0.193,0.23,0.619
641,43-2011.00,"Switchboard Operators, Including Answering Service",0.892,0.077,0.0,0.03,0.333,0.571,0.333,0.81,0.667,0.453,0.143,0.851,0.454,0.199,0.514,0.416
642,43-2021.00,Telephone Operators,0.978,0.020999999999999998,0.0,0.0,0.381,0.429,0.381,0.761,0.571,0.381,0.143,0.884,0.48,0.149,0.403,0.651
644,43-3011.00,Bill and Account Collectors,0.505,0.28500000000000003,0.211,0.0,0.476,0.429,0.333,0.619,0.571,0.429,0.143,1.0,0.626,0.143,0.291,0.463
645,43-3021.00,Billing and Posting Clerks,0.207,0.773,0.02,0.0,0.381,0.571,0.381,0.643,0.643,0.44,0.143,1.0,0.393,0.24,0.384,0.213
646,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.473,0.34,0.122,0.065,0.524,0.524,0.429,0.667,0.714,0.524,0.143,1.0,0.413,0.31,0.236,0.21
647,43-3041.00,Gambling Cage Workers,0.848,0.15100000000000002,0.0,0.0,0.381,0.429,0.286,0.667,0.619,0.381,0.143,0.853,0.661,0.143,0.404,0.407
648,43-3051.00,Payroll and Timekeeping Clerks,0.206,0.477,0.318,0.0,0.476,0.476,0.429,0.714,0.619,0.476,0.143,1.0,0.486,0.143,0.226,0.293
649,43-3061.00,Procurement Clerks,0.482,0.19,0.327,0.0,0.524,0.619,0.476,0.619,0.571,0.476,0.143,1.0,0.616,0.233,0.43,0.237
650,43-3071.00,Tellers,0.747,0.17099999999999999,0.083,0.0,0.429,0.524,0.333,0.857,0.714,0.476,0.143,0.984,0.599,0.204,0.327,0.347
652,43-4011.00,Brokerage Clerks,0.291,0.326,0.382,0.0,0.571,0.619,0.476,0.761,0.714,0.596,0.143,0.996,0.644,0.18,0.297,0.331
653,43-4021.00,Correspondence Clerks,0.429,0.455,0.116,0.0,0.333,0.571,0.381,0.619,0.571,0.404,0.231,0.963,0.484,0.353,0.181,0.391
654,43-4031.00,"Court, Municipal, and License Clerks",0.525,0.33199999999999996,0.104,0.039,0.429,0.54,0.429,0.699,0.54,0.516,0.16,0.876,0.606,0.273,0.286,0.5
656,43-4051.00,Customer Service Representatives,0.548,0.311,0.142,0.0,0.429,0.524,0.429,0.857,0.619,0.404,0.143,0.88,0.73,0.231,0.293,0.549
657,43-4061.00,"Eligibility Interviewers, Government Programs",0.256,0.43,0.242,0.072,0.524,0.619,0.476,0.714,0.667,0.596,0.143,0.907,0.561,0.351,0.143,0.634
658,43-4071.00,File Clerks,0.47200000000000003,0.26,0.012,0.256,0.333,0.381,0.286,0.476,0.619,0.31,0.164,1.0,0.237,0.197,0.361,0.274
659,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",0.76,0.194,0.046,0.0,0.333,0.429,0.333,0.857,0.524,0.31,0.19,0.816,0.544,0.143,0.374,0.64
660,43-4111.00,"Interviewers, Except Eligibility and Loan",0.424,0.5650000000000001,0.009,0.002,0.333,0.524,0.286,0.81,0.714,0.524,0.197,0.859,0.523,0.274,0.143,0.59
661,43-4121.00,"Library Assistants, Clerical",0.584,0.369,0.046,0.0,0.381,0.333,0.333,0.714,0.524,0.357,0.186,0.984,0.313,0.287,0.416,0.54
662,43-4131.00,Loan Interviewers and Clerks,0.428,0.189,0.383,0.0,0.524,0.476,0.524,0.667,0.619,0.5,0.143,0.99,0.659,0.309,0.143,0.486
663,43-4141.00,New Accounts Clerks,0.456,0.5429999999999999,0.0,0.0,0.524,0.571,0.476,0.714,0.761,0.5,0.143,1.0,0.666,0.251,0.22,0.507
664,43-4151.00,Order Clerks,0.63,0.249,0.121,0.0,0.333,0.524,0.333,0.476,0.619,0.5,0.143,1.0,0.647,0.143,0.359,0.359
665,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.211,0.44300000000000006,0.338,0.008,0.476,0.524,0.476,0.714,0.667,0.547,0.143,1.0,0.551,0.194,0.213,0.46
666,43-4171.00,Receptionists and Information Clerks,0.498,0.503,0.0,0.0,0.429,0.429,0.333,0.81,0.571,0.381,0.143,0.89,0.604,0.274,0.267,0.519
667,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,0.845,0.15,0.006,0.0,0.476,0.524,0.429,0.714,0.524,0.453,0.181,0.809,0.574,0.143,0.303,0.623
669,43-5011.00,Cargo and Freight Agents,0.139,0.5529999999999999,0.308,0.0,0.429,0.524,0.429,0.619,0.619,0.429,0.143,0.904,0.689,0.214,0.449,0.306
670,43-5011.01,Freight Forwarders,0.254,0.165,0.437,0.144,0.476,0.524,0.429,0.571,0.667,0.547,0.143,0.821,0.56,0.347,0.477,0.27
671,43-5021.00,Couriers and Messengers,0.776,0.224,0.0,0.0,0.286,0.381,0.286,0.571,0.571,0.381,0.143,0.78,0.391,0.167,0.607,0.437
672,43-5031.00,Public Safety Telecommunicators,0.634,0.319,0.047,0.0,0.571,0.571,0.524,0.857,0.857,0.547,0.143,0.791,0.414,0.411,0.607,0.514
673,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",0.524,0.405,0.07,0.0,0.476,0.667,0.429,0.476,0.667,0.596,0.143,0.77,0.414,0.203,0.754,0.383
674,43-5041.00,"Meter Readers, Utilities",0.71,0.265,0.024,0.0,0.381,0.476,0.333,0.381,0.429,0.5,0.143,0.951,0.197,0.366,0.666,0.314
675,43-5051.00,Postal Service Clerks,0.754,0.247,0.0,0.0,0.333,0.429,0.381,0.619,0.619,0.547,0.143,0.93,0.384,0.143,0.464,0.363
676,43-5052.00,Postal Service Mail Carriers,0.928,0.072,0.0,0.0,0.333,0.429,0.381,0.524,0.571,0.5,0.143,0.914,0.409,0.143,0.51,0.377
677,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.939,0.061,0.0,0.0,0.333,0.333,0.286,0.619,0.667,0.404,0.143,0.844,0.237,0.22,0.657,0.261
678,43-5061.00,"Production, Planning, and Expediting Clerks",0.563,0.438,0.0,0.0,0.571,0.761,0.429,0.619,0.667,0.643,0.164,0.846,0.7,0.171,0.444,0.3
679,43-5071.00,"Shipping, Receiving, and Inventory Clerks",0.749,0.143,0.108,0.0,0.381,0.429,0.381,0.761,0.619,0.404,0.143,1.0,0.451,0.18,0.547,0.207
680,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.715,0.281,0.005,0.0,0.333,0.381,0.333,0.714,0.619,0.357,0.143,0.924,0.247,0.343,0.756,0.143
681,43-6011.00,Executive Secretaries and Executive Administrative Assistants,0.242,0.56,0.119,0.08,0.524,0.476,0.429,0.761,0.714,0.547,0.197,0.913,0.794,0.271,0.18,0.569
682,43-6012.00,Legal Secretaries and Administrative Assistants,0.173,0.756,0.07,0.0,0.429,0.429,0.429,0.714,0.714,0.476,0.227,0.944,0.611,0.451,0.217,0.43
683,43-6013.00,Medical Secretaries and Administrative Assistants,0.529,0.47100000000000003,0.0,0.0,0.476,0.429,0.429,0.761,0.619,0.5,0.143,0.951,0.451,0.436,0.34,0.591
684,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.499,0.391,0.11,0.0,0.476,0.381,0.381,0.667,0.714,0.547,0.143,0.996,0.6,0.196,0.283,0.517
685,43-9021.00,Data Entry Keyers,0.587,0.413,0.0,0.0,0.286,0.286,0.239,0.524,0.619,0.404,0.143,1.0,0.257,0.334,0.417,0.176
686,43-9022.00,Word Processors and Typists,0.516,0.484,0.0,0.0,0.286,0.524,0.286,0.714,0.571,0.357,0.317,0.943,0.274,0.276,0.41,0.324
687,43-9031.00,Desktop Publishers,0.443,0.17,0.387,0.0,0.714,0.476,0.476,0.381,0.524,0.429,0.671,0.76,0.267,0.393,0.48,0.256
688,43-9041.00,Insurance Claims and Policy Processing Clerks,0.553,0.38,0.066,0.0,0.429,0.476,0.333,0.667,0.643,0.429,0.143,1.0,0.55,0.346,0.166,0.369
689,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.938,0.062,0.0,0.0,0.286,0.286,0.239,0.333,0.524,0.31,0.143,0.907,0.31,0.143,0.57,0.29
690,43-9061.00,"Office Clerks, General",0.42100000000000004,0.576,0.002,0.0,0.333,0.381,0.333,0.81,0.619,0.357,0.143,0.976,0.456,0.264,0.417,0.439
691,43-9071.00,"Office Machine Operators, Except Computer",0.677,0.148,0.174,0.0,0.286,0.381,0.286,0.571,0.619,0.333,0.173,0.959,0.281,0.294,0.647,0.234
692,43-9081.00,Proofreaders and Copy Markers,0.112,0.41400000000000003,0.473,0.0,0.524,0.524,0.524,0.761,0.524,0.357,0.496,0.874,0.209,0.359,0.233,0.314
693,43-9111.00,Statistical Assistants,0.06,0.119,0.592,0.229,0.476,0.429,0.381,0.476,0.619,0.476,0.143,1.0,0.246,0.647,0.361,0.194
695,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.41200000000000003,0.23900000000000002,0.329,0.02,0.643,0.739,0.524,0.619,0.654,0.607,0.143,0.664,0.859,0.319,0.791,0.411
696,45-2011.00,Agricultural Inspectors,0.6320000000000001,0.247,0.103,0.018,0.667,0.667,0.619,0.429,0.667,0.596,0.143,0.736,0.447,0.58,0.761,0.271
697,45-2021.00,Animal Breeders,0.857,0.10200000000000001,0.034,0.006,0.524,0.619,0.333,0.286,0.524,0.571,0.204,0.511,0.296,0.463,0.924,0.336
698,45-2041.00,"Graders and Sorters, Agricultural Products",0.905,0.096,0.0,0.0,0.143,0.286,0.143,0.286,0.524,0.286,0.237,0.713,0.306,0.343,0.806,0.219
699,45-2091.00,Agricultural Equipment Operators,0.7589999999999999,0.24,0.0,0.0,0.381,0.429,0.239,0.333,0.619,0.31,0.143,0.524,0.193,0.357,1.0,0.143
700,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.675,0.076,0.153,0.096,0.333,0.286,0.214,0.476,0.571,0.31,0.184,0.479,0.339,0.331,1.0,0.264
701,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.43,0.5680000000000001,0.002,0.0,0.286,0.333,0.239,0.429,0.476,0.31,0.203,0.421,0.274,0.38,0.969,0.357
704,45-4011.00,Forest and Conservation Workers,0.47,0.10200000000000001,0.226,0.202,0.571,0.619,0.381,0.619,0.571,0.404,0.147,0.616,0.404,0.504,0.994,0.37
705,45-4021.00,Fallers,1.0,0.0,0.0,0.0,0.429,0.571,0.286,0.476,0.81,0.5,0.161,0.474,0.224,0.354,1.0,0.274
706,45-4022.00,Logging Equipment Operators,0.9910000000000001,0.009,0.0,0.0,0.333,0.524,0.286,0.429,0.857,0.429,0.143,0.629,0.156,0.26,0.977,0.157
707,45-4023.00,Log Graders and Scalers,0.754,0.246,0.0,0.0,0.286,0.667,0.333,0.429,0.619,0.453,0.143,0.901,0.251,0.339,0.711,0.157
709,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,0.428,0.467,0.105,0.0,0.714,0.81,0.619,0.761,0.714,0.69,0.143,0.711,0.841,0.284,0.71,0.401
710,47-1011.03,Solar Energy Installation Managers,0.716,0.221,0.063,0.0,0.81,0.81,0.761,0.571,0.524,0.714,0.181,0.599,0.693,0.379,0.837,0.249
711,47-2011.00,Boilermakers,0.608,0.392,0.0,0.0,0.429,0.571,0.381,0.619,0.714,0.5,0.143,0.523,0.143,0.324,1.0,0.143
712,47-2021.00,Brickmasons and Blockmasons,0.839,0.161,0.0,0.0,0.429,0.476,0.333,0.381,0.667,0.571,0.234,0.564,0.177,0.294,0.977,0.166
713,47-2022.00,Stonemasons,0.7050000000000001,0.295,0.0,0.0,0.524,0.667,0.381,0.524,0.667,0.524,0.417,0.431,0.184,0.307,1.0,0.261
714,47-2031.00,Carpenters,0.7010000000000001,0.299,0.0,0.0,0.524,0.619,0.404,0.429,0.69,0.547,0.313,0.494,0.256,0.271,0.963,0.271
715,47-2041.00,Carpet Installers,0.9149999999999999,0.08499999999999999,0.0,0.0,0.286,0.429,0.286,0.619,0.476,0.404,0.246,0.53,0.143,0.191,1.0,0.186
716,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.9520000000000001,0.047,0.0,0.0,0.381,0.524,0.333,0.429,0.619,0.453,0.261,0.526,0.143,0.199,1.0,0.224
717,47-2043.00,Floor Sanders and Finishers,0.812,0.187,0.0,0.0,0.286,0.286,0.286,0.429,0.476,0.357,0.191,0.466,0.229,0.194,1.0,0.207
718,47-2044.00,Tile and Stone Setters,0.849,0.151,0.0,0.0,0.286,0.667,0.333,0.476,0.619,0.5,0.367,0.51,0.143,0.199,1.0,0.184
719,47-2051.00,Cement Masons and Concrete Finishers,0.867,0.132,0.0,0.0,0.333,0.524,0.381,0.619,0.571,0.429,0.24,0.464,0.143,0.326,1.0,0.143
720,47-2053.00,Terrazzo Workers and Finishers,0.841,0.16,0.0,0.0,0.524,0.619,0.286,0.429,0.571,0.5,0.25,0.504,0.143,0.26,1.0,0.143
721,47-2061.00,Construction Laborers,0.6739999999999999,0.326,0.0,0.0,0.333,0.381,0.239,0.571,0.619,0.453,0.197,0.516,0.193,0.383,1.0,0.176
722,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",0.794,0.206,0.0,0.0,0.333,0.476,0.286,0.524,0.81,0.404,0.143,0.53,0.143,0.246,1.0,0.143
723,47-2072.00,Pile Driver Operators,0.712,0.289,0.0,0.0,0.333,0.333,0.286,0.429,0.761,0.404,0.143,0.516,0.164,0.277,1.0,0.146
724,47-2073.00,Operating Engineers and Other Construction Equipment Operators,0.831,0.169,0.0,0.0,0.476,0.429,0.381,0.571,0.714,0.524,0.143,0.554,0.179,0.419,1.0,0.163
725,47-2081.00,Drywall and Ceiling Tile Installers,0.663,0.28900000000000003,0.048,0.0,0.381,0.571,0.333,0.524,0.619,0.547,0.329,0.446,0.143,0.279,1.0,0.169
726,47-2082.00,Tapers,0.747,0.253,0.0,0.0,0.333,0.429,0.286,0.571,0.571,0.429,0.246,0.501,0.156,0.241,0.913,0.213
727,47-2111.00,Electricians,0.329,0.658,0.0,0.013,0.619,0.761,0.476,0.524,0.714,0.596,0.183,0.603,0.264,0.381,1.0,0.18
728,47-2121.00,Glaziers,0.8,0.201,0.0,0.0,0.476,0.429,0.333,0.524,0.476,0.571,0.314,0.476,0.226,0.286,0.936,0.233
729,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",0.976,0.024,0.0,0.0,0.333,0.381,0.333,0.381,0.667,0.333,0.179,0.539,0.143,0.237,1.0,0.143
730,47-2132.00,"Insulation Workers, Mechanical",0.7919999999999999,0.208,0.0,0.0,0.381,0.761,0.333,0.571,0.81,0.476,0.143,0.604,0.143,0.344,0.989,0.179
731,47-2141.00,"Painters, Construction and Maintenance",0.8240000000000001,0.076,0.042,0.057,0.429,0.524,0.333,0.476,0.571,0.476,0.391,0.479,0.143,0.22,1.0,0.18
732,47-2142.00,Paperhangers,0.782,0.219,0.0,0.0,0.333,0.333,0.239,0.429,0.429,0.381,0.427,0.553,0.16,0.143,0.844,0.221
733,47-2151.00,Pipelayers,0.957,0.0,0.0,0.043,0.333,0.476,0.333,0.571,0.714,0.404,0.143,0.504,0.153,0.344,1.0,0.183
734,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",0.427,0.572,0.0,0.0,0.5,0.667,0.429,0.667,0.643,0.583,0.143,0.551,0.143,0.319,1.0,0.181
735,47-2152.04,Solar Thermal Installers and Technicians,0.432,0.343,0.112,0.112,0.524,0.429,0.381,0.476,0.571,0.5,0.161,0.523,0.229,0.384,1.0,0.243
736,47-2161.00,Plasterers and Stucco Masons,0.9590000000000001,0.042,0.0,0.0,0.381,0.571,0.381,0.476,0.429,0.429,0.347,0.48,0.159,0.211,1.0,0.19
737,47-2171.00,Reinforcing Iron and Rebar Workers,0.7050000000000001,0.296,0.0,0.0,0.286,0.333,0.333,0.619,0.714,0.453,0.171,0.526,0.19,0.32,1.0,0.164
738,47-2181.00,Roofers,0.75,0.183,0.0,0.066,0.381,0.524,0.429,0.476,0.619,0.476,0.177,0.487,0.221,0.171,1.0,0.211
739,47-2211.00,Sheet Metal Workers,0.5619999999999999,0.438,0.0,0.0,0.429,0.524,0.333,0.476,0.714,0.453,0.234,0.51,0.143,0.294,1.0,0.143
740,47-2221.00,Structural Iron and Steel Workers,0.758,0.192,0.0,0.05,0.381,0.429,0.381,0.667,0.761,0.453,0.207,0.507,0.18,0.4,1.0,0.169
